time,Tfh_Arm,NonTfh_Arm,Tfh_Cl13,NonTfh_Cl13
9,1195653.45050845,1835938.347605,79822.8331607394,282837.485631141
30,80700.0147667497,77470.3030743239,121629.034490956,121629.034490956
60,34226.9397968502,74369.8483299462,76867.3614223879,36954.0973477147
