,time,name,rel_tfh
0,9,Arm,40.830683542199225
1,30,Arm,37.802647712866566
2,60,Arm,32.708813932705695
3,9,Cl13,22.33202402477295
4,30,Cl13,67.29222520107238
5,60,Cl13,67.83049649811917
